#options: 2560x1440 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2436 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:42.66 aq:38.58 tex:481043 mv:123393 misc:660 imb:14400 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:43.68 aq:40.67 tex:39734 mv:30470 misc:8340 imb:1182 pmb:2458 smb:10760 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:43.80 aq:40.92 tex:47389 mv:32560 misc:9187 imb:1657 pmb:2438 smb:10305 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:43.94 aq:40.98 tex:60405 mv:37366 misc:9813 imb:2472 pmb:2388 smb:9540 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:44.10 aq:41.63 tex:45913 mv:30827 misc:9572 imb:1770 pmb:2152 smb:10478 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:44.23 aq:41.28 tex:56767 mv:36224 misc:9601 imb:2128 pmb:2339 smb:9933 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:44.38 aq:41.37 tex:43098 mv:31325 misc:10177 imb:1718 pmb:2249 smb:10433 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:44.52 aq:42.05 tex:39344 mv:29641 misc:9519 imb:1538 pmb:2164 smb:10698 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:44.63 aq:41.85 tex:58819 mv:36830 misc:9615 imb:2541 pmb:2252 smb:9607 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:44.77 aq:42.02 tex:50804 mv:30960 misc:9604 imb:2065 pmb:2087 smb:10248 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:44.89 aq:41.76 tex:58572 mv:37912 misc:10052 imb:2580 pmb:2382 smb:9438 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:45.02 aq:41.44 tex:79307 mv:40701 misc:10216 imb:3643 pmb:2088 smb:8669 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:44.96 aq:43.92 tex:8932 mv:19312 misc:7332 imb:380 pmb:1756 smb:12264 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:45.27 aq:42.46 tex:34330 mv:28334 misc:9400 imb:1570 pmb:1983 smb:10847 d:- ref:0 ;
